	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
1	1	0.2447158843278885	10191	6	4	negros		NEG	9	negros
2	2	0.08050103485584259	10323	6	4	negros		NEG	8	iguales
3	3	0.011251606978476048	19609	6	4	negros		NEU	7	mexicanos
4	4	0.004824349191039801	8217	6	4	negros		POS	6	libres
5	5	0.004511951003223658	13429	6	4	negros		NEU	5	hispanos
6	6	0.004122916609048843	12369	6	4	negros		NEU	4	americanos
7	7	0.004115629009902477	12604	6	4	negros		NEU	3	latinos
8	8	0.003993663936853409	5122	6	4	negros		NEU	2	blanco
9	9	0.003943422809243202	18644	6	4	negros		NEG	1	rojos
0	0	0.09907075017690659	3037	7	4	negros		POS	10	grandes
1	1	0.09295357763767242	9378	7	4	negros		NEU	9	viejos
2	2	0.08566347509622574	4195	7	4	negros		NEU	8	jóvenes
3	3	0.04853358492255211	8109	7	4	negros		POS	7	fuertes
4	4	0.044709399342536926	5408	7	4	negros		NEU	6	pequeños
5	5	0.03836379945278168	12627	7	4	negros		NEG	5	peligrosos
6	6	0.02196035161614418	22398	7	4	negros		POS	4	hermosos
7	7	0.020795172080397606	3697	7	4	negros		POS	3	importantes
8	8	0.019432447850704193	8757	7	4	negros		NEU	2	antiguos
9	9	0.016794495284557343	8761	7	4	negros		NEU	1	altos
0	0	0.12172707170248032	12627	8	4	negros		NEG	10	peligrosos
1	1	0.05306898429989815	3697	8	4	negros		POS	9	importantes
2	2	0.04634470120072365	3037	8	4	negros		POS	8	grandes
3	3	0.04397157207131386	8109	8	4	negros		NEU	7	fuertes
4	4	0.03775786980986595	7056	8	4	negros		NEG	6	pobres
5	5	0.032744091004133224	5408	8	4	negros		NEU	5	pequeños
6	6	0.029512306675314903	8757	8	4	negros		NEU	4	antiguos
7	7	0.023972636088728905	6233	8	4	negros		NEG	3	comunes
8	8	0.020292451605200768	4195	8	4	negros		NEU	2	jóvenes
9	9	0.01902860961854458	9378	8	4	negros		NEU	1	viejos
0	0	0.06902696192264557	3697	9	4	negros		POS	10	importantes
1	1	0.04985823109745979	12627	9	4	negros		NEG	9	peligrosos
2	2	0.04365416243672371	8109	9	4	negros		POS	8	fuertes
3	3	0.04189576581120491	7056	9	4	negros		NEG	7	pobres
4	4	0.038732435554265976	18968	9	4	negros		POS	6	poderosos
5	5	0.03487393632531166	10834	9	4	negros		POS	5	ricos
6	6	0.03460116311907768	3037	9	4	negros		POS	4	grandes
7	7	0.027846544981002808	11449	9	4	negros		NEG	3	vulnerables
8	8	0.027717065066099167	11384	9	4	negros		NEU	2	populares
9	9	0.023343538865447044	23745	9	4	negros		POS	1	valientes
0	0	0.10012172162532806	3697	10	4	negros		POS	10	importantes
1	1	0.06930098682641983	11384	10	4	negros		NEU	9	populares
2	2	0.056408558040857315	3037	10	4	negros		POS	8	grandes
3	3	0.05597155913710594	26583	10	4	negros		POS	7	atractivos
4	4	0.03888452798128128	12627	10	4	negros		NEG	6	peligrosos
5	5	0.03759530559182167	16556	10	4	negros		NEU	5	famosos
6	6	0.018805768340826035	5408	10	4	negros		NEU	4	pequeños
7	7	0.018168913200497627	10834	10	4	negros		POS	3	ricos
8	8	0.016762077808380127	10169	10	4	negros		NEU	2	conocidos
9	9	0.0154679324477911	8109	10	4	negros		POS	1	fuertes
0	0	0.06413233280181885	5987	11	4	negros		POS	10	buenos
1	1	0.04716796055436134	9168	11	4	negros		NEG	9	malos
2	2	0.04315244033932686	20089	11	4	negros		NEG	8	raros
3	3	0.04254695773124695	5408	11	4	negros		NEU	7	pequeños
4	4	0.04112854599952698	3166	11	4	negros		NEU	6	diferentes
5	5	0.027591075748205185	11384	11	4	negros		NEU	5	populares
6	6	0.026905344799160957	30290	11	4	negros		NEU	4	parecidos
7	7	0.02550363354384899	4195	11	4	negros		NEU	3	jóvenes
8	8	0.024226047098636627	22391	11	4	negros		POS	2	amables
9	9	0.023226462304592133	12627	11	4	negros		NEG	1	peligrosos
0	0	0.05423252657055855	14088	12	4	negros		NEG	10	idiotas
1	1	0.05277830362319946	8002	12	4	negros		NEG	9	blancos
2	2	0.031169744208455086	2330	12	4	negros		NEG	8	niños
3	3	0.029678115621209145	17219	12	4	negros		NEG	7	cerdos
4	4	0.028789879754185677	28901	12	4	negros		NEG	6	perdedores
5	5	0.028446489945054054	6088	12	4	negros		NEG	5	pocos
6	6	0.025858670473098755	10191	12	4	negros		NEG	4	negros
7	7	0.025068722665309906	18404	12	4	negros		NEG	3	tontos
8	8	0.02189045026898384	26248	12	4	negros		NEG	2	bastardos
9	9	0.020387260243296623	29335	12	4	negros		NEG	1	imbéciles
0	0	0.44881436228752136	8002	0	4	blancos		NEU	10	blancos
1	1	0.10281838476657867	10191	0	4	blancos		NEU	9	negros
2	2	0.028443170711398125	10323	0	4	blancos		NEG	8	iguales
3	3	0.015010210685431957	19609	0	4	blancos		NEU	7	mexicanos
4	4	0.009464935399591923	13649	0	4	blancos		NEU	6	asiáticos
5	5	0.008669102564454079	12604	0	4	blancos		NEU	5	latinos
6	6	0.008569477126002312	14009	0	4	blancos		NEG	4	chinos
7	7	0.008515390567481518	18644	0	4	blancos		NEG	3	rojos
8	8	0.008000743575394154	13429	0	4	blancos		NEU	2	hispanos
9	9	0.007832538336515427	6233	0	4	blancos		NEU	1	comunes
0	0	0.11272329837083817	8002	1	4	blancos		NEU	10	blancos
1	1	0.06426732242107391	10323	1	4	blancos		NEU	9	iguales
2	2	0.040758997201919556	10191	1	4	blancos		NEG	8	negros
3	3	0.014527358114719391	12627	1	4	blancos		NEG	7	peligrosos
4	4	0.010721162892878056	4195	1	4	blancos		NEU	6	jóvenes
5	5	0.01071226131170988	18644	1	4	blancos		NEG	5	rojos
6	6	0.009785722941160202	24035	1	4	blancos		POS	4	bienvenidos
7	7	0.008958140388131142	8217	1	4	blancos		POS	3	libres
8	8	0.00823642872273922	28279	1	4	blancos		NEG	2	ciegos
9	9	0.008091947995126247	2330	1	4	blancos		NEU	1	niños
0	0	0.0540524497628212	14088	2	4	blancos		NEG	10	idiotas
1	1	0.045426394790410995	18404	2	4	blancos		NEG	9	tontos
2	2	0.04271812364459038	2330	2	4	blancos		NEG	8	niños
3	3	0.03623874485492706	17159	2	4	blancos		NEG	7	salvajes
4	4	0.02948794700205326	25837	2	4	blancos		NEG	6	inútiles
5	5	0.020917486399412155	10323	2	4	blancos		NEG	5	iguales
6	6	0.02035565860569477	11063	2	4	blancos		NEG	4	locos
7	7	0.02030077576637268	17219	2	4	blancos		NEG	3	cerdos
8	8	0.01823507435619831	28901	2	4	blancos		NEG	2	perdedores
9	9	0.017258746549487114	5987	2	4	blancos		POS	1	buenos
0	0	0.3139873147010803	8002	3	4	blancos		NEU	10	blancos
1	1	0.07709861546754837	10191	3	4	blancos		NEG	9	negros
2	2	0.024015022441744804	19609	3	4	blancos		NEU	8	mexicanos
3	3	0.023914827033877373	8138	3	4	blancos		NEU	7	extranjeros
4	4	0.021829361096024513	12627	3	4	blancos		NEG	6	peligrosos
5	5	0.02147556096315384	11835	3	4	blancos		NEG	5	inmigrantes
6	6	0.018310027197003365	10121	3	4	blancos		NEU	4	españoles
7	7	0.01419514324516058	12880	3	4	blancos		NEG	3	esclavos
8	8	0.013528188690543175	6528	3	4	blancos		NEU	2	europeos
9	9	0.013399659655988216	24035	3	4	blancos		POS	1	bienvenidos
0	0	0.2977486848831177	8002	4	4	blancos		NEU	10	blancos
1	1	0.034748371690511703	10191	4	4	blancos		NEG	9	negros
2	2	0.026507291942834854	10323	4	4	blancos		NEG	8	iguales
3	3	0.025040559470653534	19609	4	4	blancos		NEU	7	mexicanos
4	4	0.02217872068285942	24035	4	4	blancos		POS	6	bienvenidos
5	5	0.02191324532032013	8138	4	4	blancos		NEU	5	extranjeros
6	6	0.018816232681274414	12627	4	4	blancos		NEG	4	peligrosos
7	7	0.01807979866862297	8217	4	4	blancos		POS	3	libres
8	8	0.012183351442217827	23884	4	4	blancos		NEU	2	homosexuales
9	9	0.009866519831120968	12880	4	4	blancos		NEG	1	esclavos
0	0	0.07869622856378555	8002	5	4	blancos		NEU	10	blancos
1	1	0.07666004449129105	24035	5	4	blancos		POS	9	bienvenidos
2	2	0.04582642763853073	15439	5	4	blancos		NEU	8	turistas
3	3	0.038216233253479004	16556	5	4	blancos		NEU	7	famosos
4	4	0.03392978757619858	8138	5	4	blancos		NEU	6	extranjeros
5	5	0.02330419421195984	12627	5	4	blancos		NEG	5	peligrosos
6	6	0.016131017357110977	10191	5	4	blancos		NEG	4	negros
7	7	0.014643165282905102	24089	5	4	blancos		NEG	3	desconocidos
8	8	0.013002443127334118	28279	5	4	blancos		NEG	2	ciegos
9	9	0.01175276841968298	11449	5	4	blancos		NEU	1	vulnerables
0	0	0.7026469111442566	8002	6	4	blancos		NEU	10	blancos
1	1	0.07628858834505081	10191	6	4	blancos		NEG	9	negros
2	2	0.05382242798805237	10323	6	4	blancos		NEG	8	iguales
3	3	0.024655334651470184	19609	6	4	blancos		NEU	7	mexicanos
4	4	0.007785629015415907	13429	6	4	blancos		NEU	6	hispanos
5	5	0.005339754279702902	5122	6	4	blancos		NEU	5	blanco
6	6	0.005061873234808445	12604	6	4	blancos		NEU	4	latinos
7	7	0.004987052641808987	15283	6	4	blancos		NEU	3	afroamericanos
8	8	0.004384761676192284	18644	6	4	blancos		NEG	2	rojos
9	9	0.0027989079244434834	13649	6	4	blancos		NEU	1	asiáticos
0	0	0.10294623672962189	3037	7	4	blancos		POS	10	grandes
1	1	0.10001012682914734	9378	7	4	blancos		NEU	9	viejos
2	2	0.09145118296146393	4195	7	4	blancos		NEU	8	jóvenes
3	3	0.04944358393549919	8109	7	4	blancos		POS	7	fuertes
4	4	0.0388324074447155	5408	7	4	blancos		NEU	6	pequeños
5	5	0.03379685431718826	12627	7	4	blancos		NEG	5	peligrosos
6	6	0.020274197682738304	8761	7	4	blancos		NEU	4	altos
7	7	0.01989438571035862	8757	7	4	blancos		NEU	3	antiguos
8	8	0.018697479739785194	22398	7	4	blancos		POS	2	hermosos
9	9	0.01833319664001465	3697	7	4	blancos		POS	1	importantes
0	0	0.09664640575647354	12627	8	4	blancos		NEG	10	peligrosos
1	1	0.04943866282701492	3697	8	4	blancos		POS	9	importantes
2	2	0.04590224474668503	3037	8	4	blancos		NEU	8	grandes
3	3	0.040858201682567596	8109	8	4	blancos		NEU	7	fuertes
4	4	0.03784417361021042	7056	8	4	blancos		NEG	6	pobres
5	5	0.03440287336707115	8757	8	4	blancos		NEU	5	antiguos
6	6	0.028959957882761955	5408	8	4	blancos		NEU	4	pequeños
7	7	0.02834281325340271	4195	8	4	blancos		NEU	3	jóvenes
8	8	0.023900728672742844	9378	8	4	blancos		NEG	2	viejos
9	9	0.02330920472741127	6233	8	4	blancos		NEG	1	comunes
0	0	0.06813080608844757	3697	9	4	blancos		POS	10	importantes
1	1	0.05687457323074341	12627	9	4	blancos		NEG	9	peligrosos
2	2	0.050653550773859024	8109	9	4	blancos		POS	8	fuertes
3	3	0.03741703927516937	18968	9	4	blancos		NEU	7	poderosos
4	4	0.03289620578289032	23745	9	4	blancos		POS	6	valientes
5	5	0.032260552048683167	3037	9	4	blancos		POS	5	grandes
6	6	0.03135591000318527	7056	9	4	blancos		NEG	4	pobres
7	7	0.03014669008553028	11384	9	4	blancos		NEU	3	populares
8	8	0.02779233083128929	10834	9	4	blancos		POS	2	ricos
9	9	0.02441905066370964	11449	9	4	blancos		NEG	1	vulnerables
0	0	0.10009901225566864	3697	10	4	blancos		POS	10	importantes
1	1	0.08482307195663452	11384	10	4	blancos		NEU	9	populares
2	2	0.058173082768917084	3037	10	4	blancos		POS	8	grandes
3	3	0.05521027371287346	26583	10	4	blancos		POS	7	atractivos
4	4	0.04245975613594055	16556	10	4	blancos		NEU	6	famosos
5	5	0.02750345505774021	12627	10	4	blancos		NEG	5	peligrosos
6	6	0.022309627383947372	10169	10	4	blancos		NEU	4	conocidos
7	7	0.019174540415406227	16020	10	4	blancos		NEU	3	cercanos
8	8	0.018784958869218826	17104	10	4	blancos		NEU	2	destacados
9	9	0.01592348888516426	5408	10	4	blancos		NEU	1	pequeños
0	0	0.05445024371147156	5987	11	4	blancos		POS	10	buenos
1	1	0.04353764280676842	8002	11	4	blancos		NEG	9	blancos
2	2	0.0393206812441349	5408	11	4	blancos		NEU	8	pequeños
3	3	0.03831253945827484	3166	11	4	blancos		NEU	7	diferentes
4	4	0.03478331118822098	9168	11	4	blancos		NEG	6	malos
5	5	0.03092765249311924	20089	11	4	blancos		NEG	5	raros
6	6	0.030655410140752792	4195	11	4	blancos		NEU	4	jóvenes
7	7	0.025654036551713943	3037	11	4	blancos		POS	3	grandes
8	8	0.025169314816594124	22391	11	4	blancos		POS	2	amables
9	9	0.024160398170351982	11384	11	4	blancos		NEU	1	populares
0	0	0.09641464799642563	8002	12	4	blancos		NEG	10	blancos
1	1	0.040754664689302444	28901	12	4	blancos		NEG	9	perdedores
2	2	0.03664834424853325	14088	12	4	blancos		NEG	8	idiotas
3	3	0.024786656722426414	2330	12	4	blancos		NEG	7	niños
4	4	0.02241210639476776	10191	12	4	blancos		NEG	6	negros
5	5	0.02084077149629593	6088	12	4	blancos		NEG	5	pocos
6	6	0.01910136453807354	18404	12	4	blancos		NEG	4	tontos
7	7	0.0175357386469841	17159	12	4	blancos		NEG	3	salvajes
8	8	0.017090018838644028	10323	12	4	blancos		NEG	2	iguales
9	9	0.015657950192689896	17219	12	4	blancos		NEG	1	cerdos
0	0	0.04382353276014328	10323	0	4	moros		NEG	10	iguales
1	1	0.035277433693408966	6233	0	4	moros		NEU	9	comunes
2	2	0.029209893196821213	8002	0	4	moros		NEU	8	blancos
3	3	0.028788289055228233	7012	0	4	moros		NEU	7	similares
4	4	0.020692678168416023	3166	0	4	moros		NEU	6	diferentes
5	5	0.018713096156716347	5077	0	4	moros		NEU	5	distintos
6	6	0.015773100778460503	10191	0	4	moros		NEU	4	negros
7	7	0.014247391372919083	9168	0	4	moros		NEG	3	malos
8	8	0.01411905512213707	5408	0	4	moros		NEU	2	pequeños
9	9	0.013674103654921055	14305	0	4	moros		NEU	1	verdes
0	0	0.06430269777774811	10323	1	4	moros		NEG	10	iguales
1	1	0.016443736851215363	23707	1	4	moros		NEU	9	gemelos
2	2	0.012136626988649368	20786	1	4	moros		NEG	8	mortales
3	3	0.01201742235571146	24035	1	4	moros		POS	7	bienvenidos
4	4	0.010823836550116539	2567	1	4	moros		NEU	6	hombres
5	5	0.010465011931955814	7620	1	4	moros		NEU	5	reales
6	6	0.010387880727648735	8002	1	4	moros		NEU	4	blancos
7	7	0.010148532688617706	2330	1	4	moros		NEU	3	niños
8	8	0.009666101075708866	28663	1	4	moros		NEU	2	nocturnos
9	9	0.009603875689208508	28279	1	4	moros		NEG	1	ciegos
0	0	0.05519590154290199	2330	2	4	moros		NEG	10	niños
1	1	0.039331745356321335	14088	2	4	moros		NEG	9	idiotas
2	2	0.03465104103088379	17159	2	4	moros		NEG	8	salvajes
3	3	0.03101055696606636	18404	2	4	moros		NEG	7	tontos
4	4	0.029042871668934822	25837	2	4	moros		NEG	6	inútiles
5	5	0.028254183009266853	17219	2	4	moros		NEG	5	cerdos
6	6	0.026719721034169197	17870	2	4	moros		NEG	4	monstruos
7	7	0.019452232867479324	11063	2	4	moros		NEG	3	locos
8	8	0.017020750790834427	17241	2	4	moros		NEG	2	ladrones
9	9	0.01660013198852539	10323	2	4	moros		NEG	1	iguales
0	0	0.06915631890296936	8002	3	4	moros		NEU	10	blancos
1	1	0.032573431730270386	6233	3	4	moros		NEU	9	comunes
2	2	0.03141890838742256	10191	3	4	moros		NEG	8	negros
3	3	0.0269706342369318	12627	3	4	moros		NEG	7	peligrosos
4	4	0.02668610028922558	10121	3	4	moros		NEU	6	españoles
5	5	0.024099158123135567	19945	3	4	moros		NEG	5	escasos
6	6	0.02157769910991192	8138	3	4	moros		NEG	4	extranjeros
7	7	0.02110428176820278	24035	3	4	moros		POS	3	bienvenidos
8	8	0.0151678416877985	11835	3	4	moros		NEG	2	inmigrantes
9	9	0.0148701723664999	6528	3	4	moros		NEU	1	europeos
0	0	0.04949693754315376	24035	4	4	moros		POS	10	bienvenidos
1	1	0.0312369242310524	10323	4	4	moros		NEG	9	iguales
2	2	0.02567715384066105	10121	4	4	moros		NEU	8	españoles
3	3	0.02446719817817211	8002	4	4	moros		NEU	7	blancos
4	4	0.02365131676197052	11917	4	4	moros		NEU	6	cristianos
5	5	0.020634416490793228	8138	4	4	moros		NEG	5	extranjeros
6	6	0.01892540231347084	8217	4	4	moros		POS	4	libres
7	7	0.01751382276415825	7056	4	4	moros		NEG	3	pobres
8	8	0.016274794936180115	12627	4	4	moros		NEG	2	peligrosos
9	9	0.015260538086295128	19507	4	4	moros		NEU	1	católicos
0	0	0.09685087949037552	24035	5	4	moros		POS	10	bienvenidos
1	1	0.03920181095600128	16556	5	4	moros		NEU	9	famosos
2	2	0.0296932440251112	15439	5	4	moros		NEU	8	turistas
3	3	0.026781287044286728	8138	5	4	moros		NEU	7	extranjeros
4	4	0.02282843366265297	12627	5	4	moros		NEG	6	peligrosos
5	5	0.021092362701892853	19945	5	4	moros		NEG	5	escasos
6	6	0.016250768676400185	24089	5	4	moros		NEG	4	desconocidos
7	7	0.014303472824394703	2720	5	4	moros		NEG	3	muchos
8	8	0.012681664898991585	6088	5	4	moros		NEG	2	pocos
9	9	0.012286803685128689	8002	5	4	moros		NEU	1	blancos
0	0	0.13190165162086487	10323	6	4	moros		NEG	10	iguales
1	1	0.053368762135505676	8002	6	4	moros		NEU	9	blancos
2	2	0.03372480720281601	2614	6	4	moros		NEU	8	humanos
3	3	0.025930283591151237	24035	6	4	moros		POS	7	bienvenidos
4	4	0.018929343670606613	10191	6	4	moros		NEG	6	negros
5	5	0.015724586322903633	18644	6	4	moros		NEG	5	rojos
6	6	0.015145654790103436	15998	6	4	moros		NEU	4	suyos
7	7	0.014943314716219902	14239	6	4	moros		NEU	3	míos
8	8	0.014516884461045265	5854	6	4	moros		NEG	2	muertos
9	9	0.014493796043097973	3070	6	4	moros		POS	1	nuestros
0	0	0.07998741418123245	3037	7	4	moros		POS	10	grandes
1	1	0.07874281704425812	9378	7	4	moros		NEU	9	viejos
2	2	0.06040329858660698	5408	7	4	moros		NEU	8	pequeños
3	3	0.05964483320713043	4195	7	4	moros		NEU	7	jóvenes
4	4	0.05905798450112343	8109	7	4	moros		POS	6	fuertes
5	5	0.0253431536257267	12627	7	4	moros		NEG	5	peligrosos
6	6	0.02518008090555668	8757	7	4	moros		NEU	4	antiguos
7	7	0.021359339356422424	18375	7	4	moros		POS	3	queridos
8	8	0.02124536968767643	30173	7	4	moros		NEU	2	aptos
9	9	0.021114341914653778	3697	7	4	moros		POS	1	importantes
0	0	0.0610143281519413	12627	8	4	moros		NEG	10	peligrosos
1	1	0.04893707484006882	7056	8	4	moros		NEG	9	pobres
2	2	0.04821059852838516	3697	8	4	moros		POS	8	importantes
3	3	0.044691815972328186	5408	8	4	moros		NEU	7	pequeños
4	4	0.0412597581744194	3037	8	4	moros		NEU	6	grandes
5	5	0.04013451933860779	8109	8	4	moros		NEU	5	fuertes
6	6	0.0388476625084877	8757	8	4	moros		NEU	4	antiguos
7	7	0.023346515372395515	7679	8	4	moros		NEU	3	numerosos
8	8	0.022392723709344864	9378	8	4	moros		NEG	2	viejos
9	9	0.022390948608517647	16020	8	4	moros		NEU	1	cercanos
0	0	0.08714228868484497	3697	9	4	moros		POS	10	importantes
1	1	0.0550646148622036	18968	9	4	moros		POS	9	poderosos
2	2	0.05082688480615616	8109	9	4	moros		POS	8	fuertes
3	3	0.042045123875141144	7056	9	4	moros		NEG	7	pobres
4	4	0.03882964700460434	12627	9	4	moros		NEG	6	peligrosos
5	5	0.03261129558086395	23745	9	4	moros		POS	5	valientes
6	6	0.0288365688174963	3037	9	4	moros		POS	4	grandes
7	7	0.024281902238726616	30173	9	4	moros		NEU	3	aptos
8	8	0.020422659814357758	10834	9	4	moros		POS	2	ricos
9	9	0.019465651363134384	18375	9	4	moros		POS	1	queridos
0	0	0.11013070493936539	3697	10	4	moros		POS	10	importantes
1	1	0.062067918479442596	3037	10	4	moros		POS	9	grandes
2	2	0.05512159690260887	11384	10	4	moros		NEU	8	populares
3	3	0.03529124706983566	16556	10	4	moros		NEU	7	famosos
4	4	0.028910214081406593	26583	10	4	moros		POS	6	atractivos
5	5	0.026632269844412804	12627	10	4	moros		NEG	5	peligrosos
6	6	0.024775922298431396	5408	10	4	moros		NEU	4	pequeños
7	7	0.02434486523270607	10169	10	4	moros		NEU	3	conocidos
8	8	0.02395712584257126	16020	10	4	moros		NEU	2	cercanos
9	9	0.020005859434604645	18375	10	4	moros		POS	1	queridos
0	0	0.06428010016679764	5408	11	4	moros		NEU	10	pequeños
1	1	0.05276032164692879	6233	11	4	moros		NEG	9	comunes
2	2	0.048859160393476486	20089	11	4	moros		NEG	8	raros
3	3	0.04159308597445488	5987	11	4	moros		POS	7	buenos
4	4	0.036296546459198	3166	11	4	moros		NEU	6	diferentes
5	5	0.030897097662091255	3037	11	4	moros		POS	5	grandes
6	6	0.02939644828438759	7679	11	4	moros		NEU	4	numerosos
7	7	0.02785778045654297	18557	11	4	moros		NEG	3	duros
8	8	0.026261718943715096	30290	11	4	moros		NEU	2	parecidos
9	9	0.025678234174847603	5077	11	4	moros		NEU	1	distintos
0	0	0.03937811776995659	8840	12	4	moros		NEG	10	peces
1	1	0.037229157984256744	6088	12	4	moros		NEG	9	pocos
2	2	0.02801964432001114	17219	12	4	moros		NEG	8	cerdos
3	3	0.02136005461215973	8915	12	4	moros		NEG	7	perros
4	4	0.020762231200933456	2330	12	4	moros		NEG	6	niños
5	5	0.019117489457130432	17870	12	4	moros		NEG	5	monstruos
6	6	0.018357113003730774	25756	12	4	moros		NEG	4	gusanos
7	7	0.017796041443943977	4608	12	4	moros		NEG	3	animales
8	8	0.012181147933006287	5854	12	4	moros		NEG	2	muertos
9	9	0.011735103093087673	17927	12	4	moros		NEG	1	santos
0	0	0.11857131868600845	13052	0	4	indios		NEU	10	indios
1	1	0.0382692851126194	8002	0	4	indios		NEU	9	blancos
2	2	0.02644384652376175	10323	0	4	indios		NEG	8	iguales
3	3	0.025816351175308228	10121	0	4	indios		NEU	7	españoles
4	4	0.02363954484462738	6233	0	4	indios		NEU	6	comunes
5	5	0.019314855337142944	12880	0	4	indios		NEG	5	esclavos
6	6	0.01596963405609131	19190	0	4	indios		NEU	4	nativos
7	7	0.01506087090820074	19137	0	4	indios		POS	3	guerreros
8	8	0.014352049678564072	10191	0	4	indios		NEG	2	negros
9	9	0.012894906103610992	3166	0	4	indios		NEU	1	diferentes
0	0	0.08267086744308472	13052	1	4	indios		NEU	10	indios
1	1	0.03287551552057266	19137	1	4	indios		POS	9	guerreros
2	2	0.029951971024274826	10323	1	4	indios		NEG	8	iguales
3	3	0.0290896687656641	8002	1	4	indios		NEU	7	blancos
4	4	0.017708897590637207	12880	1	4	indios		NEG	6	esclavos
5	5	0.01617315411567688	10121	1	4	indios		NEU	5	españoles
6	6	0.013702958822250366	10191	1	4	indios		NEG	4	negros
7	7	0.012181795202195644	2567	1	4	indios		NEU	3	hombres
8	8	0.010798671282827854	8138	1	4	indios		NEU	2	extranjeros
9	9	0.01066233217716217	24035	1	4	indios		POS	1	bienvenidos
0	0	0.05749518424272537	2330	2	4	indios		NEG	10	niños
1	1	0.05508095398545265	17159	2	4	indios		NEG	9	salvajes
2	2	0.030671672895550728	18404	2	4	indios		NEG	8	tontos
3	3	0.030087407678365707	14088	2	4	indios		NEG	7	idiotas
