	index	score	token	sentence	model	dimension	pos_tag	rsv	word
7	7	0.025355955585837364	11535	10	5	españoles	AQ	3	cercanos
8	8	0.02205582708120346	5149	10	5	españoles	AQ	2	pequeños
9	9	0.0209977850317955	10727	10	5	españoles	AQ	1	baratos
0	0	0.10492558032274246	3988	11	5	españoles	AQ	10	buenos
1	1	0.03546258807182312	3497	11	5	españoles	PI	9	pocos
2	2	0.029883861541748047	22606	11	5	españoles	AQ	8	amables
3	3	0.02764933556318283	5149	11	5	españoles	AQ	7	pequeños
4	4	0.023906584829092026	8187	11	5	españoles	AQ	6	ricos
5	5	0.02343880385160446	4090	11	5	españoles	AQ	5	jóvenes
6	6	0.020603204146027565	9072	11	5	españoles	AQ	4	económicos
7	7	0.018501292914152145	6270	11	5	españoles	AQ	3	populares
8	8	0.016606608405709267	18533	11	5	españoles	AQ	2	caros
9	9	0.016042547300457954	7777	11	5	españoles	AQ	1	pobres
0	0	0.23948390781879425	3497	12	5	españoles	PI	10	pocos
1	1	0.0514012835919857	8450	12	5	españoles	PI	9	cuantos
2	2	0.04077569767832756	37637	12	5	españoles	AQ	8	privilegiados
3	3	0.020318755879998207	3988	12	5	españoles	AQ	7	buenos
4	4	0.017691584303975105	34851	12	5	españoles	AQ	6	afortunados
5	5	0.015310175716876984	18618	12	5	españoles	AQ	5	locos
6	6	0.009526942856609821	14207	12	5	españoles	AQ	4	únicos
7	7	0.009049308486282825	3144	12	5	españoles	AQ	3	humanos
8	8	0.008924250490963459	2274	12	5	españoles	NC	2	amigos
9	9	0.008004981093108654	7964	12	5	españoles	NC	1	españoles
0	0	0.02413446269929409	14178	0	5	franceses	NC	10	franceses
1	1	0.017480088397860527	14005	0	5	franceses	AQ	9	alemanes
2	2	0.01737181656062603	18883	0	5	franceses	AQ	8	ingleses
3	3	0.01547631248831749	3988	0	5	franceses	AQ	7	buenos
4	4	0.01231746468693018	7743	0	5	franceses	AQ	6	extranjeros
5	5	0.011824032291769981	17178	0	5	franceses	AQ	5	musulmanes
6	6	0.01129900198429823	1292	0	5	franceses	PI	4	muchos
7	7	0.011104579083621502	3497	0	5	franceses	PI	3	pocos
8	8	0.010940282605588436	18332	0	5	franceses	AQ	2	italianos
9	9	0.010859658941626549	3144	0	5	franceses	AQ	1	humanos
0	0	0.03694107383489609	33511	1	5	franceses	AQ	10	bienvenidos
1	1	0.020117294043302536	8992	1	5	franceses	AQ	9	excelentes
2	2	0.018749358132481575	22664	1	5	franceses	NC	8	jovenes
3	3	0.016466457396745682	2274	1	5	franceses	AQ	7	amigos
4	4	0.01640576310455799	20766	1	5	franceses	AQ	6	geniales
5	5	0.016343720257282257	3988	1	5	franceses	AQ	5	buenos
6	6	0.013433457352221012	9616	1	5	franceses	AQ	4	cristianos
7	7	0.012681540101766586	23136	1	5	franceses	AQ	3	curiosos
8	8	0.011588184162974358	10674	1	5	franceses	AQ	2	famosos
9	9	0.010751869529485703	20244	1	5	franceses	AQ	1	maravillosos
0	0	0.07485103607177734	34851	2	5	franceses	AQ	10	afortunados
1	1	0.05755322799086571	2274	2	5	franceses	NC	9	amigos
2	2	0.041046012192964554	3497	2	5	franceses	PI	8	pocos
3	3	0.030111894011497498	18618	2	5	franceses	AQ	7	locos
4	4	0.02378827892243862	3988	2	5	franceses	AQ	6	buenos
5	5	0.021761173382401466	37637	2	5	franceses	NC	5	privilegiados
6	6	0.017821526154875755	42100	2	5	franceses	AQ	4	guapos
7	7	0.01575229875743389	8450	2	5	franceses	PI	3	cuantos
8	8	0.01272903848439455	35316	2	5	franceses	AQ	2	apasionados
9	9	0.012169253081083298	20244	2	5	franceses	AQ	1	maravillosos
0	0	0.03952023386955261	17178	3	5	franceses	AQ	10	musulmanes
1	1	0.03425178676843643	7743	3	5	franceses	AQ	9	extranjeros
2	2	0.022397734224796295	10091	3	5	franceses	NC	8	inmigrantes
3	3	0.01731945015490055	14005	3	5	franceses	AQ	7	alemanes
4	4	0.014979475177824497	9616	3	5	franceses	AQ	6	cristianos
5	5	0.013865473680198193	3144	3	5	franceses	AQ	5	humanos
6	6	0.013396420516073704	14178	3	5	franceses	AQ	4	franceses
7	7	0.011031350120902061	14139	3	5	franceses	AQ	3	refugiados
8	8	0.010708308778703213	22524	3	5	franceses	AQ	2	inocentes
9	9	0.009335759095847607	18346	3	5	franceses	AQ	1	esclavos
0	0	0.021200040355324745	7743	4	5	franceses	AQ	10	extranjeros
1	1	0.017070667818188667	33511	4	5	franceses	AQ	9	bienvenidos
2	2	0.016704034060239792	9616	4	5	franceses	AQ	8	cristianos
3	3	0.015259217470884323	3831	4	5	franceses	NC	7	ciudadanos
4	4	0.015197424218058586	17178	4	5	franceses	AQ	6	musulmanes
5	5	0.011518900282680988	9540	4	5	franceses	AQ	5	independientes
6	6	0.011290771886706352	3144	4	5	franceses	AQ	4	humanos
7	7	0.009668568149209023	11977	4	5	franceses	AQ	3	fieles
8	8	0.00833046343177557	16592	4	5	franceses	AQ	2	catalanes
9	9	0.008062466979026794	14005	4	5	franceses	AQ	1	alemanes
0	0	0.035604000091552734	33511	5	5	franceses	AQ	10	bienvenidos
1	1	0.03243890404701233	8992	5	5	franceses	AQ	9	excelentes
2	2	0.030160292983055115	7743	5	5	franceses	AQ	8	extranjeros
3	3	0.024613156914711	8359	5	5	franceses	NC	7	turistas
4	4	0.022391563281416893	1292	5	5	franceses	PI	6	muchos
5	5	0.019928768277168274	3497	5	5	franceses	PI	5	pocos
6	6	0.019429171457886696	23136	5	5	franceses	AQ	4	curiosos
7	7	0.01931127905845642	7268	5	5	franceses	AQ	3	numerosos
8	8	0.019250230863690376	15110	5	5	franceses	AQ	2	impresionantes
9	9	0.015466195531189442	12441	5	5	franceses	AQ	1	espectaculares
0	0	0.028273994103074074	14178	6	5	franceses	NC	10	franceses
1	1	0.026747742667794228	7743	6	5	franceses	AQ	9	extranjeros
2	2	0.018895728513598442	14005	6	5	franceses	AQ	8	alemanes
3	3	0.017565587535500526	33511	6	5	franceses	AQ	7	bienvenidos
4	4	0.017221368849277496	16592	6	5	franceses	AQ	6	catalanes
5	5	0.01683100499212742	18883	6	5	franceses	AQ	5	ingleses
6	6	0.013897589407861233	17178	6	5	franceses	AQ	4	musulmanes
7	7	0.013059661723673344	18332	6	5	franceses	AQ	3	italianos
8	8	0.012223850004374981	3988	6	5	franceses	AQ	2	buenos
9	9	0.011279130354523659	9616	6	5	franceses	AQ	1	cristianos
0	0	0.04460495710372925	10674	7	5	franceses	AQ	10	famosos
1	1	0.04410224035382271	5149	7	5	franceses	AQ	9	pequeños
2	2	0.029005270451307297	6270	7	5	franceses	AQ	8	populares
3	3	0.02621067501604557	12577	7	5	franceses	AQ	7	queridos
4	4	0.02574077993631363	11953	7	5	franceses	AQ	6	destacados
5	5	0.02497226744890213	7423	7	5	franceses	AQ	5	conocidos
6	6	0.02427137829363346	2634	7	5	franceses	AQ	4	importantes
7	7	0.024191904813051224	42100	7	5	franceses	AQ	3	guapos
8	8	0.01978100650012493	11535	7	5	franceses	AQ	2	cercanos
9	9	0.019481686875224113	34851	7	5	franceses	AQ	1	afortunados
0	0	0.06873049587011337	15367	8	5	franceses	AQ	10	vulnerables
1	1	0.04051689803600311	7777	8	5	franceses	AQ	9	pobres
2	2	0.03556792810559273	5149	8	5	franceses	AQ	8	pequeños
3	3	0.030646242201328278	15898	8	5	franceses	AQ	7	poderosos
4	4	0.030094904825091362	10674	8	5	franceses	AQ	6	famosos
5	5	0.02906809374690056	7423	8	5	franceses	AQ	5	conocidos
6	6	0.029002966359257698	6270	8	5	franceses	AQ	4	populares
7	7	0.027525607496500015	8084	8	5	franceses	AQ	3	afectados
8	8	0.024280516430735588	11535	8	5	franceses	AQ	2	cercanos
9	9	0.02418820746243	2634	8	5	franceses	AQ	1	importantes
0	0	0.03834490850567818	2634	9	5	franceses	AQ	10	importantes
1	1	0.03379237279295921	6270	9	5	franceses	AQ	9	populares
2	2	0.03228059783577919	15898	9	5	franceses	AQ	8	poderosos
3	3	0.02946377731859684	15367	9	5	franceses	AQ	7	vulnerables
4	4	0.02782883495092392	11953	9	5	franceses	AQ	6	destacados
5	5	0.02625110000371933	11535	9	5	franceses	AQ	5	cercanos
6	6	0.022035174071788788	5149	9	5	franceses	AQ	4	pequeños
7	7	0.020416243001818657	10674	9	5	franceses	AQ	3	famosos
8	8	0.018728137016296387	7777	9	5	franceses	AQ	2	pobres
9	9	0.01817244105041027	43175	9	5	franceses	AQ	1	buscados
0	0	0.056851550936698914	2634	10	5	franceses	AQ	10	importantes
1	1	0.052990663796663284	11953	10	5	franceses	AQ	9	destacados
2	2	0.03539698198437691	10674	10	5	franceses	AQ	8	famosos
3	3	0.034161992371082306	7423	10	5	franceses	AQ	7	conocidos
4	4	0.030665017664432526	18533	10	5	franceses	AQ	6	caros
5	5	0.030111104249954224	6270	10	5	franceses	AQ	5	populares
6	6	0.02959340065717697	35795	10	5	franceses	AQ	4	visitados
7	7	0.02734541893005371	11535	10	5	franceses	AQ	3	cercanos
8	8	0.023408543318510056	43175	10	5	franceses	AQ	2	buscados
9	9	0.018291614949703217	5149	10	5	franceses	AQ	1	pequeños
0	0	0.15961958467960358	3988	11	5	franceses	AQ	10	buenos
1	1	0.06879860162734985	22606	11	5	franceses	AQ	9	amables
2	2	0.02849125862121582	3497	11	5	franceses	PI	8	pocos
3	3	0.0246567539870739	6702	11	5	franceses	AQ	7	interesantes
4	4	0.020420806482434273	23136	11	5	franceses	AQ	6	curiosos
5	5	0.01761201210319996	6270	11	5	franceses	AQ	5	populares
6	6	0.017433473840355873	10674	11	5	franceses	AQ	4	famosos
7	7	0.017205867916345596	2634	11	5	franceses	AQ	3	importantes
8	8	0.01701805181801319	7423	11	5	franceses	AQ	2	conocidos
9	9	0.014939497224986553	22299	11	5	franceses	AQ	1	parecidos
0	0	0.24229870736598969	3497	12	5	franceses	PI	10	pocos
1	1	0.0476362444460392	8450	12	5	franceses	PI	9	cuantos
2	2	0.030927749350667	37637	12	5	franceses	AQ	8	privilegiados
3	3	0.030910324305295944	3988	12	5	franceses	AQ	7	buenos
4	4	0.02143111824989319	18618	12	5	franceses	AQ	6	locos
5	5	0.013626852072775364	34851	12	5	franceses	AQ	5	afortunados
6	6	0.009718363173305988	2274	12	5	franceses	NC	4	amigos
7	7	0.0092417998239398	20244	12	5	franceses	AQ	3	maravillosos
8	8	0.009092229418456554	13891	12	5	franceses	NC	2	reyes
9	9	0.008942334912717342	3144	12	5	franceses	AQ	1	humanos
0	0	0.01920362189412117	7964	0	5	británicos	AQ	10	españoles
1	1	0.018712956458330154	14005	0	5	británicos	AQ	9	alemanes
2	2	0.016084983944892883	18883	0	5	británicos	AQ	8	ingleses
3	3	0.015493773855268955	7743	0	5	británicos	AQ	7	extranjeros
4	4	0.01523559633642435	3144	0	5	británicos	AQ	6	humanos
5	5	0.013240563683211803	18441	0	5	británicos	AQ	5	judíos
6	6	0.013087729923427105	14178	0	5	británicos	AQ	4	franceses
7	7	0.011336211115121841	3497	0	5	británicos	PI	3	pocos
8	8	0.010910050943493843	17178	0	5	británicos	AQ	2	musulmanes
9	9	0.009919561445713043	1292	0	5	británicos	PI	1	muchos
0	0	0.02084345743060112	33511	1	5	británicos	AQ	10	bienvenidos
1	1	0.016418203711509705	7964	1	5	británicos	AQ	9	españoles
2	2	0.014134344644844532	2274	1	5	británicos	AQ	8	amigos
3	3	0.01377889234572649	22664	1	5	británicos	NC	7	jovenes
4	4	0.011663854122161865	4090	1	5	británicos	AQ	6	jóvenes
5	5	0.011577689088881016	8992	1	5	británicos	AQ	5	excelentes
6	6	0.010966072790324688	10674	1	5	británicos	AQ	4	famosos
7	7	0.01060768123716116	9616	1	5	británicos	AQ	3	cristianos
8	8	0.01054591964930296	3988	1	5	británicos	AQ	2	buenos
9	9	0.009547309018671513	1292	1	5	británicos	PI	1	muchos
0	0	0.05908576771616936	34851	2	5	británicos	AQ	10	afortunados
1	1	0.048997603356838226	3497	2	5	británicos	PI	9	pocos
2	2	0.04731019213795662	2274	2	5	británicos	NC	8	amigos
3	3	0.03437602519989014	18618	2	5	británicos	AQ	7	locos
4	4	0.02097318135201931	8450	2	5	británicos	PI	6	cuantos
5	5	0.01983524300158024	37637	2	5	británicos	NC	5	privilegiados
6	6	0.018360789865255356	3988	2	5	británicos	AQ	4	buenos
7	7	0.01542520709335804	42100	2	5	británicos	AQ	3	guapos
8	8	0.01539947185665369	22689	2	5	británicos	NC	2	héroes
9	9	0.012185399420559406	14207	2	5	británicos	AQ	1	únicos
0	0	0.03469362482428551	7743	3	5	británicos	AQ	10	extranjeros
1	1	0.034504327923059464	17178	3	5	británicos	AQ	9	musulmanes
2	2	0.029501434415578842	10091	3	5	británicos	NC	8	inmigrantes
3	3	0.02614021487534046	18441	3	5	británicos	AQ	7	judíos
4	4	0.018085673451423645	7964	3	5	británicos	AQ	6	españoles
5	5	0.016232438385486603	14005	3	5	británicos	AQ	5	alemanes
6	6	0.015748631209135056	14139	3	5	británicos	NC	4	refugiados
7	7	0.012854871340095997	3144	3	5	británicos	AQ	3	humanos
8	8	0.011690649203956127	32034	3	5	británicos	AQ	2	desplazados
9	9	0.010487048886716366	20803	3	5	británicos	AQ	1	asesinados
0	0	0.02676079049706459	7743	4	5	británicos	AQ	10	extranjeros
1	1	0.01915745809674263	17178	4	5	británicos	AQ	9	musulmanes
2	2	0.017762957140803337	7964	4	5	británicos	AQ	8	españoles
3	3	0.015449026599526405	18441	4	5	británicos	AQ	7	judíos
4	4	0.013567996211349964	3831	4	5	británicos	NC	6	ciudadanos
5	5	0.012228064239025116	9616	4	5	británicos	AQ	5	cristianos
6	6	0.01211047824472189	3144	4	5	británicos	AQ	4	humanos
7	7	0.01116990763694048	14005	4	5	británicos	AQ	3	alemanes
8	8	0.010936972685158253	9540	4	5	británicos	AQ	2	independientes
9	9	0.009620516560971737	33511	4	5	británicos	AQ	1	bienvenidos
0	0	0.042506732046604156	7743	5	5	británicos	AQ	10	extranjeros
1	1	0.036453135311603546	8359	5	5	británicos	NC	9	turistas
2	2	0.025096990168094635	33511	5	5	británicos	AQ	8	bienvenidos
3	3	0.019660022109746933	1292	5	5	británicos	PI	7	muchos
4	4	0.019257986918091774	18890	5	5	británicos	AQ	6	increíbles
5	5	0.018621474504470825	8992	5	5	británicos	AQ	5	excelentes
6	6	0.018599502742290497	3497	5	5	británicos	PI	4	pocos
7	7	0.014493142254650593	23136	5	5	británicos	AQ	3	curiosos
8	8	0.013959654606878757	7268	5	5	británicos	AQ	2	numerosos
9	9	0.012457415461540222	15110	5	5	británicos	AQ	1	impresionantes
0	0	0.041453223675489426	7964	6	5	británicos	AQ	10	españoles
1	1	0.030915815383195877	7743	6	5	británicos	AQ	9	extranjeros
2	2	0.018196219578385353	14005	6	5	británicos	AQ	8	alemanes
3	3	0.015282240696251392	3144	6	5	británicos	AQ	7	humanos
4	4	0.013817708007991314	16584	6	5	británicos	AQ	6	americanos
5	5	0.013678794726729393	18883	6	5	británicos	AQ	5	ingleses
6	6	0.013108194805681705	14178	6	5	británicos	AQ	4	franceses
7	7	0.011938357725739479	8400	6	5	británicos	AQ	3	europeos
8	8	0.01168551854789257	17178	6	5	británicos	AQ	2	musulmanes
9	9	0.010855909436941147	17426	6	5	británicos	AQ	1	rusos
0	0	0.05015677958726883	5149	7	5	británicos	AQ	10	pequeños
1	1	0.044889211654663086	10674	7	5	británicos	AQ	9	famosos
2	2	0.026166170835494995	4090	7	5	británicos	AQ	8	jóvenes
3	3	0.026071865111589432	42100	7	5	británicos	AQ	7	guapos
4	4	0.02564343810081482	6270	7	5	británicos	AQ	6	populares
5	5	0.02298768050968647	2634	7	5	británicos	AQ	5	importantes
6	6	0.02294151484966278	26429	7	5	británicos	AQ	4	influyentes
7	7	0.022852575406432152	7423	7	5	británicos	AQ	3	conocidos
8	8	0.0222516730427742	12577	7	5	británicos	AQ	2	queridos
9	9	0.020091557875275612	15898	7	5	británicos	AQ	1	poderosos
0	0	0.08384520560503006	15367	8	5	británicos	AQ	10	vulnerables
1	1	0.040922362357378006	7777	8	5	británicos	AQ	9	pobres
2	2	0.03813943639397621	15898	8	5	británicos	AQ	8	poderosos
3	3	0.03563118353486061	5149	8	5	británicos	AQ	7	pequeños
4	4	0.02902951091527939	8084	8	5	británicos	AQ	6	afectados
5	5	0.028322773054242134	43175	8	5	británicos	AQ	5	buscados
6	6	0.027012687176465988	10674	8	5	británicos	AQ	4	famosos
7	7	0.025646906346082687	7423	8	5	británicos	AQ	3	conocidos
8	8	0.02404077723622322	6270	8	5	británicos	AQ	2	populares
9	9	0.022679489105939865	45736	8	5	británicos	AQ	1	desfavorecidos
0	0	0.045963920652866364	15898	9	5	británicos	AQ	10	poderosos
1	1	0.035379558801651	15367	9	5	británicos	AQ	9	vulnerables
2	2	0.034635551273822784	2634	9	5	británicos	AQ	8	importantes
3	3	0.030333397909998894	6270	9	5	británicos	AQ	7	populares
4	4	0.025007864460349083	43175	9	5	británicos	AQ	6	buscados
5	5	0.02336150035262108	11535	9	5	británicos	AQ	5	cercanos
6	6	0.022333618253469467	5149	9	5	británicos	AQ	4	pequeños
7	7	0.02216953970491886	10674	9	5	británicos	AQ	3	famosos
8	8	0.02204136736690998	11953	9	5	británicos	AQ	2	destacados
9	9	0.019986247643828392	26429	9	5	británicos	AQ	1	influyentes
0	0	0.05029608681797981	2634	10	5	británicos	AQ	10	importantes
1	1	0.04544007405638695	11953	10	5	británicos	AQ	9	destacados
2	2	0.03738568350672722	10674	10	5	británicos	AQ	8	famosos
3	3	0.03444790840148926	7423	10	5	británicos	AQ	7	conocidos
4	4	0.03424606844782829	18533	10	5	británicos	AQ	6	caros
5	5	0.02899457886815071	43175	10	5	británicos	AQ	5	buscados
6	6	0.028836429119110107	6270	10	5	británicos	AQ	4	populares
7	7	0.028380021452903748	35795	10	5	británicos	AQ	3	visitados
8	8	0.026098988950252533	11535	10	5	británicos	AQ	2	cercanos
9	9	0.01931162364780903	5149	10	5	británicos	AQ	1	pequeños
0	0	0.12071887403726578	3988	11	5	británicos	AQ	10	buenos
1	1	0.03664965555071831	3497	11	5	británicos	PI	9	pocos
2	2	0.02516932040452957	22606	11	5	británicos	AQ	8	amables
3	3	0.01998954638838768	6702	11	5	británicos	AQ	7	interesantes
4	4	0.019255079329013824	2634	11	5	británicos	AQ	6	importantes
5	5	0.019212855026125908	5149	11	5	británicos	AQ	5	pequeños
6	6	0.01835598610341549	6270	11	5	británicos	AQ	4	populares
7	7	0.0179120060056448	9072	11	5	británicos	AQ	3	económicos
8	8	0.017153184860944748	15898	11	5	británicos	AQ	2	poderosos
9	9	0.01605580560863018	10674	11	5	británicos	AQ	1	famosos
0	0	0.2881409823894501	3497	12	5	británicos	PI	10	pocos
1	1	0.0472843274474144	8450	12	5	británicos	PI	9	cuantos
2	2	0.02507525496184826	37637	12	5	británicos	AQ	8	privilegiados
3	3	0.019992385059595108	3988	12	5	británicos	AQ	7	buenos
4	4	0.019042495638132095	18618	12	5	británicos	AQ	6	locos
5	5	0.013321533799171448	3144	12	5	británicos	AQ	5	humanos
6	6	0.010419261641800404	14207	12	5	británicos	AQ	4	únicos
7	7	0.009680167771875858	34851	12	5	británicos	AQ	3	afortunados
8	8	0.007454069331288338	2274	12	5	británicos	NC	2	amigos
9	9	0.006397480610758066	8700	12	5	británicos	AQ	1	malos
0	0	0.024341514334082603	3988	0	5	argentinos	AQ	10	buenos
1	1	0.0219782292842865	9058	0	5	argentinos	AQ	9	mexicanos
2	2	0.02102634496986866	11617	0	5	argentinos	NC	8	argentinos
3	3	0.01568867452442646	7743	0	5	argentinos	AQ	7	extranjeros
4	4	0.013737959787249565	3497	0	5	argentinos	PI	6	pocos
5	5	0.013675021007657051	2634	0	5	argentinos	AQ	5	importantes
6	6	0.01311755646020174	12002	0	5	argentinos	AQ	4	cubanos
7	7	0.011469894088804722	9540	0	5	argentinos	AQ	3	independientes
8	8	0.010490043088793755	8700	0	5	argentinos	AQ	2	malos
9	9	0.009388617239892483	33511	0	5	argentinos	AQ	1	bienvenidos
0	0	0.04192866384983063	33511	1	5	argentinos	AQ	10	bienvenidos
1	1	0.021815437823534012	22664	1	5	argentinos	NC	9	jovenes
2	2	0.021693531423807144	8992	1	5	argentinos	AQ	8	excelentes
